"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 00:38:27 UTC 2026","Mon Jul 20 00:38:29 UTC 2026","2732","Fluxo de Navegação - Desafio Mobile","","","","","CT005 - Deve navegar para a tela de Login através da TabBar inferior",""
"passed","Mon Jul 20 00:37:58 UTC 2026","Mon Jul 20 00:38:05 UTC 2026","6785","Fluxo de Login - Desafio Mobile","","","","","CT002 - Não deve logar com e-mail inválido",""
"passed","Mon Jul 20 00:38:05 UTC 2026","Mon Jul 20 00:38:10 UTC 2026","5227","Fluxo de Login - Desafio Mobile","","","","","CT003 - Não deve logar com senha curta",""
"passed","Mon Jul 20 00:37:30 UTC 2026","Mon Jul 20 00:37:31 UTC 2026","1614","Fluxo de Componentes de Formulário - Desafio Mobile","","","","","CT009 - Deve alternar o estado do componente Switch e validar alteração de texto",""
"passed","Mon Jul 20 00:38:10 UTC 2026","Mon Jul 20 00:38:15 UTC 2026","5194","Fluxo de Login - Desafio Mobile","","","","","CT004 - Deve exibir texto de erro correto para formato de e-mail inválido",""
"passed","Mon Jul 20 00:37:31 UTC 2026","Mon Jul 20 00:37:35 UTC 2026","3419","Fluxo de Componentes de Formulário - Desafio Mobile","","","","","CT010 - Deve abrir o menu suspenso (Dropdown) e selecionar a opção correta",""
"passed","Mon Jul 20 00:37:25 UTC 2026","Mon Jul 20 00:37:30 UTC 2026","4967","Fluxo de Componentes de Formulário - Desafio Mobile","","","","","CT008 - Deve digitar no campo de texto e validar o espelhamento em tempo real",""
"passed","Mon Jul 20 00:38:29 UTC 2026","Mon Jul 20 00:38:31 UTC 2026","1804","Fluxo de Navegação - Desafio Mobile","","","","","CT006 - Deve navegar para a tela de Formulários (Forms) e verificar os elementos",""
"passed","Mon Jul 20 00:38:31 UTC 2026","Mon Jul 20 00:38:33 UTC 2026","2127","Fluxo de Navegação - Desafio Mobile","","","","","CT007 - Deve validar a existência de todas as opções do carrossel na árvore de elementos",""
"passed","Mon Jul 20 00:37:47 UTC 2026","Mon Jul 20 00:37:58 UTC 2026","10953","Fluxo de Login - Desafio Mobile","","","","","CT001 - Deve logar com sucesso com credenciais válidas",""
